Stream Processor,2006-11-21,3.750000000000000000e+02,nan
Radeon HD 2900 XT,2007-05-14,4.755000000000000000e+02,nan
Radeon HD 2350,2007-06-28,4.200000000000000000e+01,nan
Radeon HD 2400 PRO,2007-06-28,4.200000000000000000e+01,nan
Radeon HD 2400 XT,2007-06-28,5.200000000000000000e+01,nan
Radeon HD 2600 PRO,2007-06-28,1.440000000000000000e+02,nan
Radeon HD 2600 XT,2007-06-28,1.920000000000000000e+02,nan
Radeon HD 2900 PRO,2007-09-25,3.840000000000000000e+02,nan
Radeon HD 2900 GT,2007-11-06,2.885000000000000000e+02,nan
FireStream 9170,2007-11-08,5.120000000000000000e+02,1.024000000000000057e+02
Radeon HD 3870,2007-11-19,4.973000000000000114e+02,9.920000000000000284e+01
Radeon HD 3850,2007-11-19,4.275000000000000000e+02,8.540000000000000568e+01
FireGL V3600,2007-11-21,1.440000000000000000e+02,nan
FireGL V5600,2007-11-21,1.920000000000000000e+02,nan
FireGL V7600,2007-11-21,2.880000000000000000e+02,nan
FireGL V7700,2007-11-21,4.960000000000000000e+02,nan
FireGL V8600,2007-11-21,4.403199999999999932e+02,nan
FireGL V8650,2007-11-21,4.403199999999999932e+02,nan
Radeon HD 3470,2008-01-23,6.400000000000000000e+01,nan
Radeon HD 3650,2008-01-23,1.740000000000000000e+02,nan
Radeon HD 3450,2008-01-23,4.800000000000000000e+01,nan
Radeon HD 3870 X2,2008-01-28,1.056000000000000000e+03,2.111999999999999886e+02
Radeon HD 3830,2008-04-01,4.275000000000000000e+02,8.540000000000000568e+01
Radeon HD 3850 X2,2008-04-04,8.550000000000000000e+02,1.710000000000000000e+02
FireStream 9250,2008-06-16,1.000000000000000000e+03,2.000000000000000000e+02
Radeon HD 4870,2008-06-25,1.200000000000000000e+03,2.400000000000000000e+02
Radeon HD 4850,2008-06-25,1.000000000000000000e+03,2.000000000000000000e+02
Radeon HD 3550,2008-08-04,4.752000000000000313e+01,nan
FirePro 3D V3700,2008-08-08,6.400000000000000000e+01,nan
FirePro 3D V5700,2008-08-08,4.480000000000000000e+02,nan
Radeon HD 4870 X2,2008-08-12,2.400000000000000000e+03,4.800000000000000000e+02
Radeon HD 4670,2008-09-10,4.800000000000000000e+02,nan
Radeon HD 4650,2008-09-10,4.160000000000000000e+02,nan
FirePro 3D V8700,2008-09-11,1.200000000000000000e+03,2.400000000000000000e+02
FirePro 3D V3750,2008-09-11,3.520000000000000000e+02,nan
Radeon HD 4350,2008-09-30,9.200000000000000000e+01,nan
Radeon HD 4550,2008-09-30,9.600000000000000000e+01,nan
Radeon HD 3730,2008-10-05,1.733000000000000114e+02,nan
Radeon HD 3750,2008-10-05,1.910000000000000000e+02,nan
Radeon HD 4830,2008-10-21,7.360000000000000000e+02,1.471999999999999886e+02
Radeon HD 4850 X2,2008-11-07,2.000000000000000000e+03,4.000000000000000000e+02
FireStream 9270,2008-11-13,1.200000000000000000e+03,2.400000000000000000e+02
Radeon HD 4570,2008-11-25,1.040000000000000000e+02,nan
FirePro 3D V7750,2009-03-27,5.120000000000000000e+02,nan
Radeon HD 4890,2009-04-02,1.360000000000000000e+03,2.720000000000000000e+02
Radeon HD 4770,2009-04-28,9.600000000000000000e+02,1.920000000000000000e+02
Radeon HD 3410,2009-05-07,4.152000000000000313e+01,nan
Radeon HD 4810,2009-05-28,9.600000000000000000e+02,1.920000000000000000e+02
Radeon HD 4730,2009-06-08,9.600000000000000000e+02,1.920000000000000000e+02
FirePro 3D V8750,2009-07-28,1.200000000000000000e+03,2.400000000000000000e+02
Radeon HD 4860,2009-09-09,8.960000000000000000e+02,1.791999999999999886e+02
Radeon HD 4750,2009-09-09,9.343999999999999773e+02,nan
Radeon HD 3610,2009-09-24,1.425999999999999943e+02,nan
Radeon HD 5850,2009-09-30,2.088000000000000000e+03,4.176000000000000227e+02
Radeon HD 5770,2009-10-13,1.360000000000000000e+03,nan
Radeon HD 5750,2009-10-13,1.008000000000000000e+03,nan
Radeon HD 5970,2009-11-18,4.640000000000000000e+03,9.280000000000000000e+02
Radeon HD 5870,2009-12-16,2.720000000000000000e+03,5.440000000000000000e+02
Radeon HD 5670,2010-01-14,6.200000000000000000e+02,nan
Radeon HD 5450,2010-02-04,1.040000000000000000e+02,nan
Radeon HD 5550,2010-02-09,3.520000000000000000e+02,nan
Radeon HD 5570,2010-02-09,5.200000000000000000e+02,nan
Radeon HD 5830,2010-02-25,1.792000000000000000e+03,3.583999999999999773e+02
FirePro 3D V8800,2010-04-07,2.640000000000000000e+03,5.280000000000000000e+02
FirePro 3D V3800,2010-04-26,5.200000000000000000e+02,nan
FirePro 3D V4800,2010-04-26,6.200000000000000000e+02,nan
FirePro 3D V7800,2010-04-26,2.016000000000000000e+03,4.031999999999999886e+02
FirePro 3D V5800,2010-04-26,1.120000000000000000e+03,nan
FirePro RG220,2010-05-21,8.000000000000000000e+01,nan
FireStream 9370,2010-06-23,2.640000000000000000e+03,5.280000000000000000e+02
FireStream 9350,2010-06-23,2.016000000000000000e+03,4.031999999999999886e+02
Radeon HD 3570,2010-07-05,6.367999999999999972e+01,nan
FirePro 3D V9800,2010-09-09,2.720000000000000000e+03,5.440000000000000000e+02
Radeon HD 6850,2010-10-22,1.488000000000000000e+03,nan
Radeon HD 6870,2010-10-22,2.016000000000000000e+03,nan
Radeon HD 6950,2010-12-15,2.253000000000000000e+03,5.630000000000000000e+02
Radeon HD 6970,2010-12-15,2.703000000000000000e+03,6.750000000000000000e+02
Radeon HD 6750,2011-01-21,1.008000000000000000e+03,nan
Radeon HD 6450,2011-03-08,2.400000000000000000e+02,nan
Radeon HD 6570,2011-03-14,6.240000000000000000e+02,nan
Radeon HD 6790,2011-04-04,1.344000000000000000e+03,nan
Radeon HD 6350,2011-04-07,1.040000000000000000e+02,nan
Radeon HD 6770,2011-04-19,1.360000000000000000e+03,nan
Radeon HD 6670,2011-04-19,7.680000000000000000e+02,nan
Radeon HD 5610,2011-05-14,5.200000000000000000e+02,nan
FirePro V5900,2011-05-24,6.100000000000000000e+02,1.540000000000000000e+02
FirePro V7900,2011-05-24,1.860000000000000000e+03,4.640000000000000000e+02
FirePro V4900,2011-11-01,7.680000000000000000e+02,nan
Radeon HD 4580,2011-11-20,1.910000000000000000e+02,nan
Radeon HD 6930,2011-12-21,1.920000000000000000e+03,4.800000000000000000e+02
Radeon HD 7470,2012-01-21,2.480000000000000000e+02,nan
Radeon HD 7570,2012-01-21,6.240000000000000000e+02,nan
Radeon HD 7450,2012-01-21,2.400000000000000000e+02,nan
Radeon HD 7350,2012-01-21,1.040000000000000000e+02,nan
Radeon HD 7670,2012-01-21,7.680000000000000000e+02,nan
Radeon HD 7950,2012-01-21,2.867199999999999818e+03,7.170000000000000000e+02
FirePro V3900,2012-02-07,6.240000000000000000e+02,nan
Radeon HD 7750,2012-02-21,9.216000000000000227e+02,5.760000000000000142e+01
Radeon HD 7770,2012-02-21,1.280000000000000000e+03,8.000000000000000000e+01
Radeon HD 7850,2012-03-21,1.761279999999999973e+03,1.100799999999999983e+02
Radeon HD 7870,2012-03-21,2.560000000000000000e+03,1.600000000000000000e+02
Radeon HD 7970,2012-04-06,4.044800000000000182e+03,1.011100000000000023e+03
FirePro W7000,2012-06-13,2.432000000000000000e+03,1.520000000000000000e+02
FirePro W600,2012-06-13,7.680000000000000000e+02,5.500000000000000000e+01
FirePro W5000,2012-06-13,1.267200000000000045e+03,7.920000000000000284e+01
FirePro W9000,2012-06-14,3.993599999999999909e+03,9.983999999999999773e+02
FirePro W8000,2012-06-14,3.225599999999999909e+03,8.063999999999999773e+02
Radeon HD 7950 Boost,2012-08-21,3.315199999999999818e+03,8.287999999999999545e+02
FirePro S7000,2012-08-27,2.432000000000000000e+03,1.520000000000000000e+02
FirePro S9000,2012-08-27,3.225599999999999909e+03,8.063999999999999773e+02
FirePro S10000,2012-11-12,5.913600000000000364e+03,1.478400000000000091e+03
FirePro S10000 passive,2012-11-12,5.913600000000000364e+03,1.478400000000000091e+03
Radeon HD 7870 XT,2012-11-21,2.995199999999999818e+03,7.487999999999999545e+02
Radeon HD 8970,2013-01-08,4.301000000000000000e+03,1.075000000000000000e+03
Radeon HD 8670,2013-01-08,7.680000000000000000e+02,4.800000000000000000e+01
Radeon HD 8570,2013-01-08,5.600000000000000000e+02,3.500000000000000000e+01
Radeon HD 8870,2013-01-08,2.560000000000000000e+03,1.600000000000000000e+02
Radeon HD 8450,2013-01-08,2.000000000000000000e+02,nan
Radeon HD 8470,2013-01-08,2.400000000000000000e+02,nan
Radeon HD 8760,2013-01-08,1.280000000000000000e+03,8.000000000000000000e+01
Radeon HD 8950,2013-01-08,3.315199999999999818e+03,8.287999999999999545e+02
Radeon HD 8350,2013-01-08,1.040000000000000000e+02,nan
Radeon HD 7510,2013-02-21,4.160000000000000000e+02,nan
FirePro R5000,2013-02-25,1.267200000000000045e+03,7.920000000000000284e+01
Radeon HD 7790,2013-03-21,1.792000000000000000e+03,1.280000000000000000e+02
Radeon HD 7990,2013-04-21,8.192000000000000000e+03,2.048000000000000000e+03
Radeon HD 7730,2013-04-21,6.143999999999999773e+02,3.839999999999999858e+01
Radeon Sky 500,2013-04-21,2.432000000000000000e+03,1.520000000000000000e+02
Radeon Sky 900,2013-04-21,5.913600000000000364e+03,1.478400000000000091e+03
Radeon Sky 700,2013-04-21,3.225599999999999909e+03,8.063999999999999773e+02
Radeon HD 8990,2013-04-24,8.192000000000000000e+03,2.048000000000000000e+03
Radeon HD 8490,2013-07-23,2.800000000000000000e+02,nan
Radeon R7 260X,2013-08-08,1.971200000000000045e+03,1.232000000000000028e+02
Radeon R7 250,2013-08-08,8.063999999999999773e+02,4.800000000000000000e+01
Radeon R7 240,2013-08-08,4.991999999999999886e+02,2.919999999999999929e+01
Radeon R9 270X,2013-08-08,2.688000000000000000e+03,1.680000000000000000e+02
Radeon R9 280X,2013-08-08,3.481640960000000177e+03,1.024000000000000000e+03
Radeon HD 8770,2013-09-02,1.792000000000000000e+03,1.280000000000000000e+02
Radeon HD 8730,2013-09-05,6.143999999999999773e+02,4.479999999999999716e+01
Radeon R9 290X,2013-10-24,5.632000000000000000e+03,7.040000000000000000e+02
