GeForce 256 SDR,1999-10-11,5.000000000000000000e+01,nan
GeForce 256 DDR,1999-12-13,5.000000000000000000e+01,nan
GeForce 8800 GTX,2006-11-08,3.456000000000000227e+02,nan
GeForce 8500 GT,2007-04-17,2.880000000000000071e+01,nan
GeForce 8600 GT,2007-04-17,7.600000000000000000e+01,nan
GeForce 8600 GTS,2007-04-17,9.279999999999999716e+01,nan
GeForce 8600 GS,2007-04-21,7.550000000000000000e+01,nan
S870 GPU Computing Server,2007-05-02,1.382400000000000091e+03,nan
GeForce 8800 Ultra,2007-05-02,3.840000000000000000e+02,nan
C870 GPU Computing Module,2007-05-02,3.456000000000000227e+02,nan
D870 Deskside Computer,2007-05-02,6.912000000000000455e+02,nan
GeForce 8400 GS,2007-06-15,2.880000000000000071e+01,nan
GeForce 8300 GS,2007-07-21,1.440000000000000036e+01,nan
GeForce 8800 GTS 112 (G80),2007-11-19,2.688000000000000114e+02,nan
GeForce 8400 GS rev.2,2007-12-10,2.239999999999999858e+01,nan
GeForce 8800 GTS (G92),2007-12-11,4.160000000000000000e+02,nan
GeForce 8800 GS,2008-01-21,2.640000000000000000e+02,nan
GeForce 9600 GT,2008-02-21,2.080000000000000000e+02,nan
GeForce 9800 GTX,2008-04-01,4.320000000000000000e+02,nan
GeForce 9600 GSO,2008-05-21,2.640000000000000000e+02,nan
S1075 GPU Computing Server,2008-06-01,2.764800000000000182e+03,3.456000000000000227e+02
GeForce GTX 260,2008-06-16,4.770000000000000000e+02,nan
GeForce GTX 280,2008-06-17,6.220000000000000000e+02,nan
GeForce 9300 GE,2008-06-21,2.080000000000000071e+01,nan
GeForce 9300 GS,2008-06-21,2.239999999999999858e+01,nan
GeForce 9800 GTX+,2008-07-16,4.700000000000000000e+02,nan
GeForce 9800 GT,2008-07-21,3.360000000000000000e+02,nan
GeForce 9600 GS,2008-07-29,1.200000000000000000e+02,nan
GeForce 9500 GT,2008-07-29,8.959999999999999432e+01,nan
GeForce 9400 GT,2008-08-27,4.479999999999999716e+01,nan
GeForce 9600 GSO 512,2008-10-21,1.560000000000000000e+02,nan
GeForce 9400 mGPU,2008-10-21,6.720000000000000284e+01,nan
GeForce 9300 mGPU,2008-10-21,5.760000000000000142e+01,nan
GeForce 8300 mGPU,2008-11-21,3.600000000000000000e+01,nan
GeForce 8200 mGPU,2008-11-21,2.880000000000000071e+01,nan
GeForce 8100 mGPU,2008-11-21,2.880000000000000071e+01,nan
GeForce GTX 295,2009-01-08,1.192299999999999955e+03,nan
GeForce GTX 285,2009-01-15,7.084800000000000182e+02,nan
GeForce GTS 150,2009-03-10,4.700000000000000000e+02,nan
GeForce GT 140,2009-03-10,2.080000000000000000e+02,nan
GeForce GT 120,2009-03-10,8.959999999999999432e+01,nan
GeForce G 100,2009-03-10,2.239999999999999858e+01,nan
GeForce GT 130,2009-03-10,1.200000000000000000e+02,nan
C1060 GPU Computing Module,2009-04-09,6.220800000000000409e+02,7.776000000000000512e+01
GeForce GTX 275,2009-04-09,6.740000000000000000e+02,nan
GeForce GTS 240,2009-07-01,3.628999999999999773e+02,nan
GeForce GTS 250,2009-07-12,4.285000000000000000e+02,nan
GeForce GT 230,2009-07-20,1.972500000000000000e+02,nan
GeForce GT 220,2009-10-12,1.305999999999999943e+02,nan
GeForce 210,2009-10-12,4.489999999999999858e+01,nan
GeForce GT 240,2009-11-17,2.573000000000000114e+02,nan
GeForce 9800 GT Green Edition,2009-11-21,3.080000000000000000e+02,nan
GeForce 9600 GT Green Edition,2009-11-21,2.080000000000000000e+02,nan
GeForce 205,2009-11-26,2.239999999999999858e+01,nan
GeForce 310,2009-11-27,4.479999999999999716e+01,nan
GeForce 315,2010-02-21,1.055999999999999943e+02,nan
GeForce GT 320,2010-02-21,1.875000000000000000e+02,nan
GeForce GT 330,2010-02-21,2.457666666666666515e+02,nan
GeForce GT 340,2010-02-21,2.573000000000000114e+02,nan
GeForce GTX 480,2010-03-26,1.344960000000000036e+03,1.681200000000000045e+02
GeForce GTX 470,2010-03-26,1.088640000000000100e+03,1.360800000000000125e+02
GeForce GTX 465,2010-05-31,8.553600000000000136e+02,1.069200000000000017e+02
GeForce 8400 GS rev.3,2010-07-12,1.969999999999999929e+01,nan
GeForce GT 420,2010-09-03,1.344000000000000057e+02,nan
GeForce GT 430,2010-10-11,2.688000000000000114e+02,nan
GeForce GTS 450,2010-10-11,4.550400000000000205e+02,nan
GeForce GTX 580,2010-11-09,1.581099999999999909e+03,1.976299999999999955e+02
GeForce GTX 460 SE,2010-11-15,7.487999999999999545e+02,nan
GeForce GTX 460,2010-11-21,9.333999999999999773e+02,nan
GeForce GT 440,2010-12-06,3.267350000000000136e+02,nan
GeForce GTX 570,2010-12-07,1.405400000000000091e+03,1.756800000000000068e+02
GeForce GTX 550 Ti,2011-03-15,6.912000000000000455e+02,nan
GeForce GTX 590,2011-03-24,2.488300000000000182e+03,3.110400000000000205e+02
GeForce GTX 560 Ti,2011-03-28,1.147050000000000182e+03,1.194150000000000063e+02
GeForce GT 520,2011-04-12,1.555000000000000000e+02,nan
GeForce GTX 555,2011-05-14,8.478999999999999773e+02,nan
GeForce GT 530,2011-05-14,2.688000000000000114e+02,nan
GeForce GT 545,2011-05-14,4.580950000000000273e+02,nan
GeForce GTX 560,2011-05-17,1.088599999999999909e+03,nan
M2090 GPU Computing Module,2011-07-25,1.331200000000000045e+03,6.656000000000000227e+02
S2050 GPU Computing Server,2011-07-25,4.121600000000000364e+03,2.060800000000000182e+03
C2050 GPU Computing Module,2011-07-25,1.030400000000000091e+03,5.152000000000000455e+02
C2070 GPU Computing Module,2011-07-25,1.030400000000000091e+03,5.152000000000000455e+02
M2070/M2070Q GPU Computing Module,2011-07-25,1.030400000000000091e+03,5.152000000000000455e+02
M2050 GPU Computing Module,2011-07-25,1.030400000000000091e+03,5.152000000000000455e+02
C2075 GPU Computing Module,2011-07-25,1.030400000000000091e+03,5.152000000000000455e+02
GeForce 4057,2011-09-16,4.485999999999999943e+01,nan
GeForce 510,2011-09-29,1.004000000000000057e+02,nan
GeForce GTX 560 Ti 448 Cores,2011-11-29,1.311700000000000045e+03,1.639699999999999989e+02
GeForce GTX 560 SE,2012-02-20,8.478999999999999773e+02,nan
GeForce GTX 680,2012-03-22,3.090429999999999836e+03,1.287700000000000102e+02
GeForce 6052,2012-04-03,1.004000000000000057e+02,nan
GeForce GT 6204,2012-04-24,2.121500000000000057e+02,nan
GeForce GT 6459,2012-04-24,8.940000000000000000e+02,nan
K10 GPU accelerator,2012-05-01,4.577000000000000000e+03,1.906999999999999886e+02
GeForce GTX 670,2012-05-10,2.459519999999999982e+03,1.024800000000000040e+02
GeForce GT 6103,2012-05-15,1.555000000000000000e+02,nan
GeForce GT 6408,2012-07-21,6.501800000000000637e+02,nan
GeForce GT 630,2012-08-12,4.126750000000000114e+02,nan
GeForce GTX 660 Ti,2012-08-16,2.459519999999999982e+03,1.024800000000000040e+02
GeForce GTX 660,2012-09-02,1.995099999999999909e+03,7.873000000000000398e+01
GeForce GTX 650,2012-09-13,8.125399999999999636e+02,3.385999999999999943e+01
GeForce GTX 650 Ti,2012-10-09,1.425410000000000082e+03,5.939000000000000057e+01
K20X GPU accelerator,2012-11-12,3.935000000000000000e+03,1.312000000000000000e+03
K20 GPU accelerator,2012-11-12,3.524000000000000000e+03,1.175000000000000000e+03
GeForce GT 635,2013-02-19,7.427000000000000455e+02,nan
GeForce GT 625,2013-02-19,1.555000000000000000e+02,nan
GeForce GTX TITAN,2013-02-21,4.499699999999999818e+03,1.499900000000000091e+03
GeForce GTX 650 Ti Boost,2013-03-26,1.505279999999999973e+03,6.271999999999999886e+01
GeForce GTX 645,2013-04-22,9.481000000000000227e+02,3.953000000000000114e+01
