comm_size,nelem,time,std
2,40,97.895,3.052
2,40,99.754,5.747
2,40,99.778,4.263
2,68,96.893,3.272
2,68,97.227,3.289
2,68,96.369,2.023
2,137,98.038,2.296
2,137,98.252,2.241
2,137,97.799,2.043
2,536,98.944,3.142
2,536,97.799,2.016
2,536,99.611,3.389
2,947,98.324,2.307
2,947,100.398,3.990
2,947,99.289,2.879
2,1355,100.541,3.505
2,1355,100.231,2.177
2,1355,100.636,3.393
2,2249,99.540,1.810
2,2249,99.945,2.000
2,2249,99.015,2.547
2,3362,100.958,3.873
2,3362,100.470,3.150
2,3362,104.213,4.286
2,5287,106.311,3.532
2,5287,102.663,4.873
2,5287,105.798,3.906
2,8548,106.883,5.746
2,8548,102.687,4.368
2,8548,106.001,3.984
2,13327,108.910,5.663
2,13327,109.816,7.199
2,13327,111.556,7.212
2,20980,124.145,5.353
2,20980,122.190,5.449
2,20980,120.068,3.662
2,31539,150.990,9.039
2,31539,146.580,8.903
2,31539,146.770,5.104
2,52907,183.535,5.880
2,52907,181.293,7.351
2,52907,183.225,6.803
2,82908,233.150,5.238
2,82908,232.458,6.156
2,82908,232.673,6.478
2,134288,344.849,24.152
2,134288,347.328,39.948
2,134288,350.189,52.620
2,212399,689.983,70.699
2,212399,680.029,64.169
2,212399,624.490,28.142
2,331099,955.820,38.640
2,331099,949.621,13.604
2,331099,963.974,28.738
2,518060,1467.872,21.041
2,518060,1478.434,24.261
2,518060,1697.612,142.489
2,848075,2390.409,17.210
2,848075,2450.156,67.793
2,848075,2459.133,44.827
2,1321227,3759.718,75.751
2,1321227,3979.874,234.462
2,1321227,3995.848,226.958
