comm_size,nelem,time,std
2,40,104.403,3.237
2,40,105.047,3.206
2,40,105.512,6.372
2,68,105.989,4.210
2,68,103.831,3.347
2,68,108.886,6.732
2,137,108.206,5.644
2,137,110.960,9.905
2,137,105.596,4.911
2,536,112.677,13.581
2,536,112.319,14.593
2,536,106.680,3.407
2,947,107.622,3.890
2,947,109.386,5.470
2,947,106.454,3.870
2,1355,106.859,1.557
2,1355,106.525,1.983
2,1355,106.668,2.278
2,2249,108.886,4.906
2,2249,109.911,4.713
2,2249,109.148,5.300
2,3362,112.379,6.231
2,3362,107.598,2.302
2,3362,108.743,2.746
2,5287,109.518,1.736
2,5287,110.292,3.013
2,5287,110.126,3.349
2,8548,109.959,3.687
2,8548,110.054,2.165
2,8548,108.814,1.479
2,13327,118.089,7.741
2,13327,119.019,7.688
2,13327,123.954,9.986
2,20980,136.948,4.628
2,20980,135.350,4.032
2,20980,136.447,6.436
2,31539,177.896,11.425
2,31539,177.670,10.500
2,31539,177.157,8.111
2,52907,236.142,13.827
2,52907,236.082,12.698
2,52907,237.811,14.895
2,82908,316.429,33.316
2,82908,325.656,37.116
2,82908,330.222,40.008
2,134288,455.761,36.285
2,134288,465.667,37.663
2,134288,471.056,39.505
2,212399,716.734,15.070
2,212399,717.890,16.534
2,212399,721.776,19.741
2,331099,1067.472,60.183
2,331099,1058.817,11.323
2,331099,1073.694,30.655
2,518060,1573.849,9.661
2,518060,1594.210,22.484
2,518060,1612.043,25.772
2,848075,2515.614,28.311
2,848075,2576.733,40.729
2,848075,2584.553,39.281
2,1321227,3920.150,80.735
2,1321227,3976.226,81.991
2,1321227,4008.055,82.870
